freq,util,power
1200000.00,69.61,5.11
1200000.00,69.95,5.21
1200000.00,70.13,5.21
1200000.00,69.99,5.21
1200000.00,69.87,5.21
1200000.00,69.70,5.25
1200000.00,69.56,5.25
1200000.00,69.15,5.25
1200000.00,68.86,5.25
1200000.00,68.61,5.25
1200000.00,68.45,5.25
1200000.00,68.34,5.25
1200000.00,68.29,5.25
1200000.00,68.57,5.24
1200000.00,68.80,5.24
1200000.00,69.04,5.24
1200000.00,69.39,5.24
1200000.00,70.74,5.00
1200000.00,71.54,5.00
1200000.00,71.95,5.00
1200000.00,71.18,5.00
1200000.00,70.35,4.96
1200000.00,69.69,4.96
1200000.00,69.40,4.96
1200000.00,69.11,4.96
